地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2022/01/13,15:26:16.4,大隅半島東方沖,31°05.2′N,131°29.4′E,30 km,4.6,震度３
2022/01/11,12:23:49.6,大分県南部,32°59.7′N,131°54.8′E,10 km,3.9,震度３
2022/01/07,07:24:52.0,沖縄本島近海,27°26.1′N,128°33.5′E,49 km,4.3,震度３
2022/01/05,21:34:16.4,茨城県南部,36°08.6′N,140°01.9′E,49 km,3.8,震度３
2022/01/04,06:08:51.5,父島近海,27°03.9′N,142°06.8′E,77 km,6.1,震度５強
2022/01/02,23:17:23.2,紀伊水道,34°07.5′N,135°06.1′E,9 km,3.7,震度３
2021/12/31,14:52:43.0,石川県能登地方,37°30.8′N,137°14.5′E,14 km,4.3,震度３
2021/12/29,11:33:05.5,東京都２３区,35°42.1′N,139°36.9′E,31 km,3.5,震度３
2021/12/26,17:26:47.1,宮古島近海,25°08.3′N,125°37.9′E,39 km,6.1,震度４
2021/12/25,09:30:58.5,栃木県北部,37°03.7′N,139°51.6′E,8 km,4.0,震度３
2021/12/21,11:53:15.7,国後島付近,43°43.8′N,146°03.0′E,96 km,5.0,震度３
2021/12/21,01:05:26.1,日高地方中部,42°23.1′N,142°39.4′E,39 km,4.8,震度３
2021/12/12,12:30:58.7,茨城県南部,36°08.0′N,139°51.1′E,50 km,5.0,震度４
2021/12/11,16:59:45.7,兵庫県南東部,35°12.2′N,135°10.3′E,15 km,3.7,震度３
2021/12/11,08:42:31.0,熊本県阿蘇地方,32°57.7′N,131°07.4′E,8 km,3.7,震度３
2021/12/10,20:14:31.6,トカラ列島近海,29°23.4′N,129°31.8′E,15 km,3.0,震度３
2021/12/09,11:09:26.7,トカラ列島近海,29°19.2′N,129°22.1′E,13 km,4.2,震度３
2021/12/09,11:08:10.2,トカラ列島近海,29°22.2′N,129°27.5′E,6 km,3.0,震度３
2021/12/09,11:05:08.0,トカラ列島近海,29°20.5′N,129°27.0′E,14 km,6.1,震度５強
2021/12/08,22:44:18.8,トカラ列島近海,29°20.0′N,129°25.5′E,20 km,4.0,震度４
2021/12/08,16:22:18.2,福島県沖,37°43.4′N,141°34.3′E,53 km,5.0,震度３
2021/12/08,02:29:26.2,福島県沖,37°09.9′N,141°12.5′E,17 km,5.2,震度３
2021/12/07,11:13:34.6,トカラ列島近海,29°20.8′N,129°23.3′E,17 km,4.7,震度３
2021/12/07,05:04:40.2,トカラ列島近海,29°18.0′N,129°18.5′E,21 km,3.6,震度３
2021/12/06,17:09:35.6,福島県沖,37°39.9′N,141°18.7′E,61 km,4.3,震度３
2021/12/06,10:58:58.3,トカラ列島近海,29°20.3′N,129°22.8′E,18 km,4.1,震度３
2021/12/05,22:34:53.3,トカラ列島近海,29°19.6′N,129°25.2′E,17 km,3.4,震度３
2021/12/05,13:06:26.1,トカラ列島近海,29°18.1′N,129°24.6′E,22 km,4.1,震度３
2021/12/05,11:14:24.9,トカラ列島近海,29°16.2′N,129°19.2′E,19 km,4.9,震度４
2021/12/05,11:00:27.1,トカラ列島近海,29°15.9′N,129°20.2′E,19 km,3.8,震度３
2021/12/05,05:14:20.9,トカラ列島近海,29°17.3′N,129°17.2′E,20 km,4.1,震度３
2021/12/05,04:05:09.0,トカラ列島近海,29°17.4′N,129°17.9′E,21 km,3.5,震度３
2021/12/05,00:25:58.4,トカラ列島近海,29°16.7′N,129°19.2′E,19 km,3.9,震度３
2021/12/05,00:08:15.7,トカラ列島近海,29°17.0′N,129°19.8′E,20 km,4.4,震度３
2021/12/04,23:25:06.4,トカラ列島近海,29°19.0′N,129°23.0′E,20 km,4.2,震度３
2021/12/04,19:48:16.6,トカラ列島近海,29°17.7′N,129°25.0′E,24 km,3.9,震度３
2021/12/04,07:29:19.5,長野県南部,35°50.4′N,137°34.7′E,5 km,2.8,震度３
2021/12/03,09:28:28.9,紀伊水道,33°48.0′N,135°08.8′E,18 km,5.4,震度５弱
2021/12/03,06:37:48.5,山梨県東部・富士五湖,35°33.2′N,138°59.4′E,19 km,4.8,震度５弱
2021/12/03,02:23:24.3,山梨県東部・富士五湖,35°31.8′N,138°58.9′E,21 km,3.8,震度３
2021/12/03,02:17:58.6,山梨県東部・富士五湖,35°31.6′N,138°58.7′E,21 km,4.1,震度４
2021/12/02,17:24:47.4,福島県沖,37°40.1′N,141°42.6′E,53 km,4.7,震度３
2021/12/02,01:58:38.8,茨城県南部,36°13.0′N,139°59.4′E,65 km,5.1,震度４
2021/12/01,23:31:35.2,秋田県内陸北部,40°14.6′N,140°53.4′E,10 km,4.2,震度３
2021/12/01,05:50:06.9,福島県会津,37°46.1′N,140°03.8′E,7 km,4.0,震度３
2021/11/24,17:06:34.0,岩手県沖,39°19.9′N,142°05.6′E,48 km,4.7,震度３
2021/11/23,18:48:42.0,宮城県沖,38°54.3′N,142°16.2′E,47 km,4.7,震度３
2021/11/20,08:57:23.3,東京都多摩東部,35°44.0′N,139°32.0′E,99 km,4.6,震度３
2021/11/17,02:54:45.9,神奈川県西部,35°25.6′N,139°08.8′E,23 km,4.4,震度３
2021/11/14,23:23:21.2,播磨灘,34°22.6′N,134°39.9′E,14 km,4.0,震度３
2021/11/13,08:49:06.1,播磨灘,34°22.1′N,134°39.8′E,14 km,4.1,震度３
2021/11/11,00:45:14.5,宮古島近海,23°43.9′N,126°22.0′E,115 km,6.5,震度３
2021/11/09,01:14:57.2,福島県中通り,37°03.7′N,140°35.0′E,6 km,4.9,震度４
2021/11/08,04:22:18.6,青森県東方沖,41°03.0′N,142°02.4′E,57 km,4.3,震度３
2021/11/08,03:08:31.2,茨城県南部,36°11.7′N,140°02.0′E,52 km,4.3,震度３
2021/11/05,00:21:49.0,石川県能登地方,37°30.8′N,137°13.6′E,13 km,4.0,震度３
2021/11/03,11:35:56.0,福島県沖,37°03.8′N,141°11.8′E,49 km,4.8,震度３
2021/11/03,01:19:55.8,長野県南部,35°49.1′N,138°09.6′E,16 km,3.7,震度３
2021/11/02,19:06:40.3,能登半島沖,37°31.1′N,137°13.9′E,13 km,3.9,震度３
2021/11/01,06:14:46.4,茨城県北部,36°27.6′N,140°36.7′E,57 km,5.3,震度４
2021/10/28,09:55:29.3,茨城県南部,36°03.8′N,139°54.5′E,45 km,4.5,震度４
2021/10/27,01:27:54.8,福島県沖,37°14.6′N,142°10.3′E,23 km,5.0,震度３
2021/10/21,17:36:45.5,東海道南方沖,32°10.8′N,138°27.0′E,356 km,5.6,震度３
2021/10/19,21:36:39.5,青森県東方沖,41°32.5′N,142°54.3′E,38 km,5.4,震度３
2021/10/19,15:03:07.0,石川県能登地方,37°30.7′N,137°13.0′E,13 km,4.0,震度３
2021/10/18,00:49:30.3,青森県東方沖,40°56.5′N,142°13.0′E,61 km,4.6,震度３
2021/10/16,21:48:32.7,京都府南部,35°04.2′N,135°37.1′E,12 km,3.9,震度３
2021/10/15,07:57:41.3,和歌山県北部,34°01.4′N,135°14.2′E,5 km,3.3,震度４
2021/10/10,23:16:15.9,十勝地方南部,42°21.3′N,143°06.6′E,51 km,4.7,震度３
2021/10/09,14:31:58.7,岩手県沖,39°59.2′N,142°14.7′E,54 km,4.7,震度３
2021/10/07,22:41:23.0,千葉県北西部,35°35.4′N,140°06.2′E,75 km,5.9,震度５強
2021/10/06,17:12:55.3,大隅半島東方沖,31°14.7′N,131°28.8′E,43 km,5.4,震度４
2021/10/06,02:46:02.3,岩手県沖,40°00.4′N,142°15.2′E,56 km,5.9,震度５強
2021/10/05,03:21:22.3,和歌山県北部,34°01.4′N,135°14.1′E,5 km,3.0,震度３
2021/10/03,14:43:35.2,能登半島沖,37°31.1′N,137°14.4′E,13 km,3.8,震度３
2021/10/03,11:10:59.1,石川県能登地方,37°30.6′N,137°13.8′E,13 km,4.3,震度３
2021/09/30,17:45:30.3,宮城県沖,38°25.8′N,141°57.6′E,61 km,4.5,震度３
2021/09/29,23:39:47.4,静岡県東部,35°19.2′N,138°49.9′E,6 km,3.5,震度３
2021/09/29,17:37:04.5,日本海中部,38°47.8′N,135°39.0′E,394 km,6.1,震度３
2021/09/29,12:26:42.5,茨城県沖,36°26.0′N,140°38.9′E,54 km,4.2,震度３
2021/09/27,20:26:38.3,茨城県沖,36°38.8′N,141°06.3′E,50 km,4.8,震度３
2021/09/24,18:48:10.9,新潟県上中越沖,37°21.9′N,138°24.1′E,16 km,4.1,震度３
2021/09/19,19:04:17.6,岐阜県飛騨地方,36°17.2′N,137°37.9′E,4 km,4.7,震度３
2021/09/19,17:19:25.4,岐阜県飛騨地方,36°20.4′N,137°37.1′E,1 km,4.9,震度３
2021/09/19,17:18:30.4,岐阜県飛騨地方,36°20.7′N,137°37.4′E,0 km,5.3,震度４
2021/09/19,08:07:48.8,茨城県北部,36°28.1′N,140°36.5′E,55 km,4.1,震度３
2021/09/18,05:21:08.4,宮城県沖,38°11.9′N,141°37.4′E,54 km,4.0,震度３
2021/09/17,12:16:10.7,福島県沖,37°47.0′N,141°30.8′E,49 km,4.4,震度３
2021/09/16,18:42:30.2,石川県能登地方,37°30.3′N,137°18.0′E,13 km,5.1,震度５弱
2021/09/14,07:46:05.9,東海道南方沖,32°27.6′N,137°59.7′E,385 km,6.0,震度３
2021/09/13,00:16:29.3,熊本県熊本地方,32°47.2′N,130°38.3′E,12 km,3.7,震度３
2021/09/12,11:17:04.4,豊後水道,33°07.3′N,132°04.0′E,45 km,4.2,震度３
2021/09/07,14:07:07.3,石川県能登地方,37°30.7′N,137°13.6′E,13 km,4.2,震度３
2021/09/06,23:59:47.3,和歌山県北部,34°04.1′N,135°08.2′E,6 km,3.0,震度３
2021/09/02,04:17:06.9,福島県沖,37°42.1′N,141°37.0′E,59 km,4.6,震度３
2021/08/30,20:39:05.9,群馬県北部,36°43.6′N,139°10.5′E,8 km,3.6,震度３
2021/08/27,05:49:05.8,茨城県沖,36°25.1′N,141°05.7′E,40 km,5.1,震度３
2021/08/27,05:46:07.0,茨城県沖,36°24.8′N,141°05.5′E,41 km,4.5,震度３
2021/08/22,11:24:35.4,福島県沖,37°36.4′N,141°38.2′E,60 km,5.1,震度４
2021/08/21,16:40:11.9,石川県能登地方,37°30.9′N,137°14.3′E,13 km,3.7,震度３
2021/08/19,07:15:51.5,広島県北部,35°03.4′N,133°02.6′E,6 km,3.5,震度３
2021/08/18,01:31:01.9,広島県北部,35°03.5′N,133°02.5′E,6 km,4.3,震度４
2021/08/16,08:17:45.9,滋賀県北部,35°27.3′N,136°19.8′E,13 km,4.4,震度３
2021/08/16,05:03:13.5,滋賀県北部,35°27.0′N,136°20.0′E,13 km,4.6,震度４
2021/08/14,22:38:07.0,石川県能登地方,37°30.5′N,137°13.3′E,14 km,4.2,震度３
2021/08/08,08:49:01.8,鹿児島県薩摩地方,31°14.7′N,130°36.9′E,8 km,3.5,震度３
2021/08/05,06:50:46.2,台湾付近,24°44.0′N,122°20.8′E,55 km,6.3,震度３
2021/08/04,05:33:36.8,茨城県沖,36°12.3′N,141°48.3′E,18 km,6.0,震度３
2021/08/02,09:37:26.1,広島県北部,35°03.7′N,133°02.7′E,6 km,4.4,震度４
2021/07/31,13:09:44.6,徳島県南部,33°47.8′N,134°37.9′E,45 km,4.5,震度３
2021/07/30,03:26:04.4,京都府南部,34°58.8′N,135°34.9′E,8 km,3.7,震度３
2021/07/28,00:55:00.3,茨城県沖,35°58.3′N,140°58.9′E,10 km,4.6,震度３
2021/07/27,05:19:21.1,福島県沖,37°20.3′N,141°20.5′E,81 km,4.5,震度４
2021/07/26,11:16:16.2,青森県東方沖,41°28.7′N,142°08.2′E,52 km,5.2,震度４
2021/07/18,19:11:05.1,福島県会津,37°03.2′N,139°16.6′E,4 km,4.6,震度３
2021/07/18,18:50:07.3,福島県会津,37°02.2′N,139°16.6′E,4 km,4.7,震度３
2021/07/18,14:35:50.6,徳島県北部,33°58.1′N,133°55.7′E,45 km,4.4,震度３
2021/07/17,20:50:00.7,伊予灘,33°38.3′N,131°51.3′E,76 km,5.1,震度４
2021/07/17,18:07:49.9,岐阜県飛騨地方,36°19.4′N,137°36.9′E,3 km,4.3,震度３
2021/07/16,13:19:56.9,八丈島近海,33°16.2′N,139°28.8′E,16 km,5.4,震度４
2021/07/11,09:16:40.7,石川県能登地方,37°30.2′N,137°16.2′E,13 km,3.9,震度４
2021/07/08,01:24:35.9,伊予灘,33°42.7′N,132°16.3′E,50 km,4.3,震度３
2021/07/04,15:35:21.7,茨城県沖,36°38.7′N,140°56.0′E,49 km,4.2,震度３
2021/07/01,06:44:01.1,岩手県沖,39°11.8′N,142°09.9′E,49 km,4.2,震度３
2021/06/29,14:55:48.6,日向灘,31°43.7′N,131°49.2′E,41 km,4.7,震度３
2021/06/26,01:24:55.3,石川県能登地方,37°30.5′N,137°14.1′E,14 km,4.1,震度３
2021/06/26,00:49:00.8,熊本県熊本地方,32°30.2′N,130°34.9′E,13 km,4.0,震度３
2021/06/20,20:08:24.4,上川地方中部,43°28.6′N,142°41.0′E,158 km,5.4,震度３
2021/06/19,07:39:13.3,愛媛県南予,33°27.6′N,132°30.8′E,42 km,4.7,震度４
2021/06/09,22:05:55.1,岩手県沖,40°05.4′N,142°25.7′E,38 km,5.0,震度３
2021/06/09,07:34:22.2,岩手県沖,39°51.8′N,142°16.7′E,33 km,4.9,震度３
2021/06/08,16:59:58.8,熊本県熊本地方,32°39.2′N,130°41.0′E,11 km,3.9,震度４
2021/06/08,10:19:16.7,福島県沖,37°48.5′N,141°37.6′E,75 km,4.9,震度３
2021/06/07,03:11:06.9,千葉県南東沖,34°34.4′N,140°13.6′E,93 km,5.1,震度３
2021/06/03,10:31:52.0,富山湾,37°14.9′N,137°09.6′E,15 km,4.1,震度３
2021/05/29,19:10:41.2,浦河沖,42°02.7′N,142°39.1′E,63 km,4.9,震度３
2021/05/26,08:57:40.6,和歌山県南部,33°55.7′N,135°24.5′E,51 km,3.9,震度３
2021/05/24,04:09:17.3,茨城県南部,35°56.2′N,140°07.5′E,62 km,4.3,震度３
2021/05/21,07:16:05.4,栃木県北部,37°03.1′N,139°50.6′E,9 km,4.2,震度３
2021/05/16,15:41:10.6,福島県沖,37°35.9′N,141°33.5′E,53 km,4.5,震度３
2021/05/16,12:23:54.1,十勝沖,42°06.0′N,144°28.4′E,8 km,6.1,震度３
2021/05/16,10:08:50.3,千葉県北東部,35°30.8′N,140°24.6′E,19 km,3.7,震度３
2021/05/16,01:20:44.3,岐阜県飛騨地方,36°03.1′N,137°35.1′E,5 km,3.4,震度３
2021/05/14,20:46:51.2,日高地方中部,42°29.4′N,142°35.6′E,20 km,4.6,震度４
2021/05/14,08:58:14.2,福島県沖,37°41.9′N,141°45.7′E,46 km,6.3,震度４
2021/05/10,20:29:24.4,空知地方中部,43°40.7′N,141°40.4′E,5 km,3.3,震度３
2021/05/06,09:16:50.6,熊本県熊本地方,32°41.5′N,130°42.5′E,14 km,4.0,震度４
2021/05/05,03:10:46.1,福島県沖,37°11.6′N,141°40.2′E,36 km,5.1,震度３
2021/05/03,08:00:37.5,十勝地方中部,42°40.7′N,143°03.9′E,79 km,4.2,震度３
2021/05/01,10:27:26.9,宮城県沖,38°10.4′N,141°44.4′E,51 km,6.8,震度５強
2021/04/30,06:47:25.2,伊豆大島近海,34°47.1′N,139°14.9′E,10 km,3.1,震度３
2021/04/24,18:35:12.3,岩手県沖,39°59.4′N,142°04.5′E,57 km,4.3,震度３
2021/04/24,12:12:28.8,山梨県中・西部,35°15.7′N,138°25.8′E,20 km,3.3,震度３
2021/04/23,14:12:20.6,福島県沖,37°06.3′N,141°06.7′E,51 km,4.0,震度３
2021/04/21,21:29:49.5,伊豆大島近海,34°47.6′N,139°14.7′E,11 km,4.3,震度３
2021/04/21,20:46:49.7,伊豆大島近海,34°48.0′N,139°15.3′E,14 km,3.1,震度３
2021/04/21,07:45:23.7,トカラ列島近海,29°22.2′N,129°28.5′E,16 km,4.1,震度４
2021/04/20,19:26:23.5,トカラ列島近海,29°19.9′N,129°32.0′E,11 km,3.0,震度３
2021/04/19,13:06:22.1,宮城県沖,38°02.5′N,141°25.1′E,65 km,4.7,震度３
2021/04/18,09:29:11.2,宮城県沖,38°19.0′N,141°51.8′E,48 km,5.8,震度４
2021/04/18,05:14:34.6,広島県北部,35°00.7′N,132°56.1′E,7 km,3.6,震度４
2021/04/16,08:33:06.9,秋田県沖,39°51.4′N,139°44.9′E,10 km,3.9,震度３
2021/04/16,05:47:51.9,内浦湾,42°18.3′N,140°33.4′E,18 km,4.4,震度３
2021/04/16,04:28:57.7,秋田県沖,39°51.2′N,139°44.9′E,10 km,3.9,震度３
2021/04/14,13:53:28.3,トカラ列島近海,29°19.6′N,129°26.0′E,12 km,3.7,震度３
2021/04/14,12:27:44.3,青森県東方沖,41°30.2′N,142°02.4′E,56 km,4.4,震度３
2021/04/13,23:36:57.2,トカラ列島近海,29°20.0′N,129°26.9′E,17 km,3.6,震度３
2021/04/13,22:53:00.2,長野県北部,36°30.3′N,137°45.5′E,2 km,3.6,震度３
2021/04/13,16:54:18.3,和歌山県南部,33°46.1′N,135°26.1′E,18 km,4.2,震度３
2021/04/13,10:54:36.9,トカラ列島近海,29°17.7′N,129°18.0′E,17 km,3.5,震度３
2021/04/12,23:01:47.6,トカラ列島近海,29°18.0′N,129°20.7′E,14 km,5.3,震度４
2021/04/12,04:18:18.7,トカラ列島近海,29°19.5′N,129°25.5′E,20 km,4.0,震度３
2021/04/11,21:14:15.0,トカラ列島近海,29°17.9′N,129°19.5′E,17 km,4.5,震度３
2021/04/11,21:00:22.9,トカラ列島近海,29°18.7′N,129°19.6′E,18 km,3.9,震度４
2021/04/11,19:35:01.5,トカラ列島近海,29°17.2′N,129°19.2′E,17 km,3.6,震度３
2021/04/11,15:41:56.4,トカラ列島近海,29°19.1′N,129°22.4′E,15 km,3.6,震度３
2021/04/11,08:00:21.5,トカラ列島近海,29°17.9′N,129°17.3′E,20 km,4.4,震度３
2021/04/11,05:44:24.1,トカラ列島近海,29°19.3′N,129°23.5′E,21 km,3.5,震度３
2021/04/11,05:40:36.8,トカラ列島近海,29°19.5′N,129°23.3′E,20 km,4.6,震度４
2021/04/11,03:18:14.1,トカラ列島近海,29°17.1′N,129°18.0′E,22 km,4.4,震度３
2021/04/11,01:35:18.3,トカラ列島近海,29°19.6′N,129°18.0′E,25 km,3.7,震度３
2021/04/10,23:29:30.6,トカラ列島近海,29°18.5′N,129°20.5′E,19 km,3.4,震度３
2021/04/10,23:09:57.5,トカラ列島近海,29°21.5′N,129°19.6′E,23 km,3.9,震度３
2021/04/10,22:10:37.9,トカラ列島近海,29°18.4′N,129°20.7′E,20 km,4.6,震度３
2021/04/10,16:36:23.4,トカラ列島近海,29°18.5′N,129°16.4′E,21 km,5.1,震度４
2021/04/10,15:52:09.8,トカラ列島近海,29°19.0′N,129°18.3′E,19 km,4.5,震度３
2021/04/10,14:07:30.7,トカラ列島近海,29°18.1′N,129°20.5′E,16 km,3.8,震度３
2021/04/10,10:54:56.3,トカラ列島近海,29°17.8′N,129°21.5′E,18 km,3.7,震度３
2021/04/10,07:07:30.2,トカラ列島近海,29°18.9′N,129°25.4′E,22 km,5.3,震度４
2021/04/10,06:05:33.4,トカラ列島近海,29°18.6′N,129°25.8′E,19 km,3.9,震度３
2021/04/05,06:22:00.3,静岡県西部,34°40.5′N,137°41.9′E,36 km,4.3,震度３
2021/04/05,02:42:53.7,網走地方,43°28.7′N,144°02.0′E,0 km,3.3,震度３
2021/04/05,02:19:59.0,網走地方,43°28.5′N,144°01.9′E,0 km,3.5,震度３
2021/04/04,20:27:52.7,沖縄本島近海,27°24.6′N,128°37.3′E,45 km,3.7,震度３
2021/04/03,21:58:26.5,宮城県沖,38°54.2′N,142°04.3′E,45 km,4.5,震度３
2021/04/02,06:38:28.7,鹿児島県薩摩地方,31°44.1′N,130°31.3′E,8 km,2.8,震度３
2021/04/01,13:30:03.8,青森県東方沖,41°30.7′N,142°04.7′E,55 km,4.7,震度３
2021/03/31,03:08:46.9,駿河湾,35°01.7′N,138°32.1′E,25 km,3.9,震度３
2021/03/28,09:26:55.8,八丈島東方沖,33°39.1′N,140°25.1′E,55 km,5.6,震度３
2021/03/20,18:09:44.8,宮城県沖,38°28.0′N,141°37.6′E,59 km,6.9,震度５強
2021/03/20,01:50:51.6,熊本県熊本地方,32°29.9′N,130°34.5′E,14 km,4.0,震度３
2021/03/17,17:28:49.5,福島県沖,37°41.7′N,141°36.8′E,57 km,5.2,震度４
2021/03/16,04:56:18.1,茨城県南部,36°09.2′N,139°49.1′E,54 km,4.9,震度４
2021/03/15,11:37:23.8,和歌山県北部,34°01.6′N,135°15.1′E,5 km,3.1,震度３
2021/03/15,00:59:15.3,和歌山県北部,34°01.7′N,135°14.4′E,4 km,3.4,震度３
2021/03/15,00:25:59.3,和歌山県北部,34°01.7′N,135°14.8′E,4 km,4.6,震度５弱
2021/03/14,09:22:17.1,熊本県熊本地方,32°38.6′N,130°42.6′E,11 km,4.4,震度４
2021/03/09,08:29:58.9,宮城県沖,38°45.6′N,141°35.5′E,76 km,4.9,震度４
2021/03/04,11:22:50.8,千葉県北東部,35°44.3′N,140°52.3′E,10 km,4.3,震度３
2021/03/03,06:22:47.6,北海道東方沖,43°53.1′N,147°28.0′E,0 km,5.9,震度３
2021/02/27,06:00:56.9,トカラ列島近海,29°57.4′N,129°58.3′E,9 km,3.5,震度３
2021/02/27,02:03:49.6,福島県沖,37°45.5′N,141°42.9′E,55 km,4.8,震度３
2021/02/27,00:33:27.9,福島県沖,37°12.8′N,141°15.9′E,59 km,4.3,震度３
2021/02/26,20:31:35.3,青森県東方沖,41°03.6′N,142°05.2′E,65 km,4.5,震度３
2021/02/23,16:08:57.9,伊予灘,33°33.1′N,132°09.5′E,53 km,4.2,震度３
2021/02/22,11:57:15.8,和歌山県北部,34°13.0′N,135°12.7′E,4 km,3.3,震度３
2021/02/22,10:55:55.7,根室半島南東沖,43°06.2′N,145°46.8′E,50 km,4.4,震度３
2021/02/20,22:23:28.6,北海道東方沖,43°16.2′N,146°45.2′E,68 km,5.0,震度３
2021/02/19,18:11:09.4,岩手県内陸北部,40°09.3′N,141°11.0′E,7 km,4.2,震度４
2021/02/19,10:07:10.8,福島県沖,37°40.7′N,141°33.0′E,53 km,4.6,震度３
2021/02/18,03:58:29.6,愛知県西部,35°03.9′N,137°17.7′E,39 km,4.2,震度３
2021/02/18,01:46:42.8,沖縄本島近海,27°25.0′N,128°36.8′E,44 km,4.0,震度３
2021/02/17,23:06:18.3,福島県沖,37°37.7′N,141°35.5′E,56 km,4.6,震度３
2021/02/15,21:26:04.7,福島県沖,37°31.1′N,141°29.4′E,48 km,5.5,震度３
2021/02/15,13:28:16.0,和歌山県北部,34°13.0′N,135°12.5′E,4 km,4.0,震度４
2021/02/14,16:31:50.2,福島県沖,37°31.0′N,141°25.7′E,50 km,5.2,震度４
2021/02/14,03:25:28.4,岩手県沖,39°05.1′N,142°24.4′E,47 km,5.1,震度３
2021/02/13,23:51:42.5,福島県沖,37°39.3′N,141°38.4′E,56 km,5.2,震度３
2021/02/13,23:36:43.9,福島県沖,37°36.4′N,141°35.9′E,58 km,4.6,震度３
2021/02/13,23:07:50.5,福島県沖,37°43.7′N,141°41.9′E,55 km,7.3,震度６強
2021/02/13,19:52:29.2,山梨県中・西部,35°44.7′N,138°31.3′E,12 km,3.6,震度３
2021/02/06,04:10:01.2,上川地方北部,44°53.6′N,142°06.8′E,2 km,3.9,震度３
2021/02/04,12:40:10.0,茨城県沖,36°36.4′N,140°59.0′E,46 km,3.9,震度３
2021/02/02,03:01:56.3,栃木県北部,36°38.7′N,139°25.1′E,7 km,4.0,震度４
2021/02/01,23:30:09.9,徳島県北部,34°00.0′N,134°25.8′E,7 km,4.0,震度３
2021/01/27,17:45:23.3,内浦湾,41°55.9′N,140°58.0′E,8 km,2.7,震度３
2021/01/27,14:06:52.8,胆振地方中東部,42°42.6′N,142°01.2′E,128 km,5.4,震度４
2021/01/26,08:25:20.7,茨城県沖,36°27.3′N,140°38.5′E,64 km,4.2,震度３
2021/01/24,00:57:34.6,熊本県熊本地方,32°35.8′N,130°39.7′E,13 km,3.9,震度３
2021/01/23,01:03:56.6,福島県沖,37°15.9′N,141°32.6′E,22 km,4.6,震度３
2021/01/01,01:53:36.1,新島・神津島近海,34°28.8′N,139°18.2′E,12 km,4.7,震度４
2020/12/30,09:35:28.3,茨城県沖,36°27.0′N,140°37.0′E,56 km,5.2,震度４
2020/12/24,02:55:53.4,奈良県,34°15.2′N,136°07.4′E,28 km,3.6,震度３
2020/12/21,02:23:21.5,青森県東方沖,40°46.9′N,142°41.5′E,43 km,6.5,震度５弱
2020/12/21,00:39:11.0,新島・神津島近海,34°29.0′N,139°18.8′E,10 km,3.5,震度３
2020/12/18,21:39:08.5,新島・神津島近海,34°30.4′N,139°17.5′E,8 km,3.8,震度３
2020/12/18,20:36:33.0,新島・神津島近海,34°30.1′N,139°18.4′E,8 km,4.6,震度４
2020/12/18,20:20:38.5,新島・神津島近海,34°30.0′N,139°18.4′E,7 km,3.2,震度３
